t,dt,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,e_q_0,e_q_1,e_q_2,e_q_3,e_q_4,e_q_5,x_des_x,x_des_y,x_des_z,x_meas_x,x_meas_y,x_meas_z,q_des_w,q_des_x,q_des_y,q_des_z,q_meas_w,q_meas_x,q_meas_y,q_meas_z,euler_des_r,euler_des_p,euler_des_y,euler_meas_r,euler_meas_p,euler_meas_y,e_R_angle,pos_err_x,pos_err_y,pos_err_z,ori_err_axis_x,ori_err_axis_y,ori_err_axis_z,ori_err_angle,u_control_0,u_control_1,u_control_2,u_control_3,u_control_4,u_control_5,ik_ms,loop_ms
3.339680,3.339680,-1.570002,-1.907646,1.570015,-1.777022,-1.569967,0.000026,-1.572005,-1.907331,1.569757,-1.777085,-1.571233,-0.001423,-0.002003,0.000315,-0.000258,-0.000063,-0.001267,-0.001449,0.121922,-0.737282,0.146798,0.134488,-0.735107,0.146660,-0.001637,0.008265,0.963199,-0.268658,0.000510,-0.000481,0.963255,-0.268589,2.597631,-0.007595,-3.126549,2.597737,0.001241,3.140939,0.018014,-0.012567,-0.002175,0.000137,-0.008682,-0.031203,-0.999475,0.018014,-13.796299,5.957972,-2.350101,-0.014573,-0.067793,-0.003731,17.300000,17.507000
3.349496,0.009817,-1.570002,-1.907646,1.570015,-1.777022,-1.569967,0.000026,-1.572005,-1.907341,1.569764,-1.777081,-1.571233,-0.001423,-0.002004,0.000304,-0.000251,-0.000059,-0.001267,-0.001449,0.121922,-0.737257,0.146798,0.134488,-0.735107,0.146660,-0.001637,0.008265,0.963199,-0.268658,0.000510,-0.000481,0.963255,-0.268589,2.597631,-0.007595,-3.126549,2.597737,0.001241,3.140939,0.018014,-0.012566,-0.002150,0.000137,-0.008682,-0.031203,-0.999475,0.018014,-13.755680,5.747216,-2.289500,-0.013670,-0.067792,-0.003731,9.499000,9.720000
3.359356,0.009860,-1.570018,-1.907704,1.570031,-1.776973,-1.570013,-0.000051,-1.572071,-1.907414,1.569791,-1.777030,-1.571221,-0.001531,-0.002054,0.000291,-0.000240,-0.000057,-0.001208,-0.001480,0.121922,-0.737232,0.146798,0.134447,-0.735076,0.146664,-0.001637,0.008265,0.963199,-0.268658,0.000475,-0.000505,0.963256,-0.268586,2.597631,-0.007595,-3.126549,2.597744,0.001186,3.140875,0.018043,-0.012525,-0.002156,0.000133,-0.009070,-0.035563,-0.999326,0.018043,-13.997997,5.487979,-2.186734,-0.013247,-0.064645,-0.003812,9.425000,9.622000
3.368853,0.009497,-1.569986,-1.907662,1.569945,-1.777018,-1.569976,-0.000027,-1.572012,-1.907399,1.569749,-1.777087,-1.571222,-0.001489,-0.002026,0.000263,-0.000196,-0.000070,-0.001247,-0.001462,0.121922,-0.737207,0.146798,0.134496,-0.735132,0.146731,-0.001637,0.008265,0.963199,-0.268658,0.000500,-0.000514,0.963244,-0.268629,2.597631,-0.007595,-3.126549,2.597655,0.001240,3.140872,0.018071,-0.012574,-0.002075,0.000066,-0.004129,-0.033091,-0.999444,0.018071,-13.743579,5.141650,-1.806108,-0.016067,-0.066727,-0.003766,9.038000,9.263000
3.379090,0.010237,-1.570025,-1.907754,1.569945,-1.776981,-1.569984,0.000018,-1.572040,-1.907494,1.569773,-1.777066,-1.571232,-0.001438,-0.002015,0.000260,-0.000172,-0.000086,-0.001248,-0.001456,0.121923,-0.737182,0.146798,0.134458,-0.735118,0.146780,-0.001637,0.008265,0.963199,-0.268658,0.000497,-0.000472,0.963236,-0.268655,2.597631,-0.007595,-3.126549,2.597601,0.001211,3.140951,0.017988,-0.012536,-0.002064,0.000018,-0.001122,-0.032378,-0.999475,0.017988,-13.670064,5.231161,-1.619584,-0.019886,-0.066803,-0.003749,9.708000,9.971000
3.388767,0.009677,-1.570089,-1.907652,1.569959,-1.776982,-1.570049,-0.000099,-1.572728,-1.907173,1.569733,-1.777029,-1.571596,-0.001962,-0.002639,0.000479,-0.000226,-0.000047,-0.001547,-0.001862,0.121923,-0.737157,0.146798,0.134371,-0.735120,0.146694,-0.001637,0.008265,0.963199,-0.268658,0.000442,-0.000489,0.963252,-0.268600,2.597631,-0.007595,-3.126549,2.597715,0.001114,3.140888,0.017997,-0.012448,-0.002037,0.000104,-0.007502,-0.038754,-0.999221,0.017997,-14.353357,4.943587,-1.765239,-0.010753,-0.063996,-0.003941,9.218000,9.411000
3.398514,0.009746,-1.570481,-1.907628,1.569905,-1.777027,-1.570207,-0.000314,-1.573141,-1.907430,1.569719,-1.777060,-1.571373,-0.002206,-0.002660,0.000197,-0.000187,-0.000033,-0.001167,-0.001892,0.121924,-0.737132,0.146799,0.133977,-0.735219,0.146746,-0.001637,0.008265,0.963199,-0.268658,0.000284,-0.000382,0.963242,-0.268636,2.597631,-0.007595,-3.126549,2.597640,0.000753,3.141009,0.017717,-0.012054,-0.001913,0.000053,-0.003537,-0.053313,-0.998572,0.017717,-14.585065,2.839572,-1.104066,-0.007577,-0.051540,-0.004117,9.308000,9.503000
3.408778,0.010264,-1.570995,-1.907470,1.569850,-1.777066,-1.570522,-0.000723,-1.573955,-1.907363,1.569727,-1.777047,-1.571334,-0.002793,-0.002961,0.000108,-0.000123,0.000019,-0.000812,-0.002070,0.121925,-0.737107,0.146799,0.133390,-0.735330,0.146698,-0.001637,0.008265,0.963199,-0.268658,0.000008,-0.000290,0.963250,-0.268606,2.597631,-0.007595,-3.126549,2.597702,0.000172,3.141039,0.017424,-0.011466,-0.001777,0.000101,-0.007451,-0.081806,-0.996620,0.017424,-15.638551,0.119942,-0.479106,0.006722,-0.030125,-0.004536,9.777000,9.993000
3.418327,0.009549,-1.571427,-1.907467,1.569854,-1.777013,-1.570719,-0.000991,-1.574456,-1.907453,1.569796,-1.776950,-1.571224,-0.003108,-0.003029,0.000014,-0.000058,0.000063,-0.000506,-0.002116,0.121926,-0.737082,0.146799,0.132943,-0.735357,0.146665,-0.001637,0.008265,0.963199,-0.268658,-0.000180,-0.000184,0.963258,-0.268577,2.597631,-0.007595,-3.126549,2.597763,-0.000248,3.141141,0.017150,-0.011017,-0.001725,0.000134,-0.011246,-0.100970,-0.994826,0.017150,-16.220353,-1.371347,-0.152021,0.014534,-0.015711,-0.004767,9.084000,9.306000
3.428313,0.009986,-1.571777,-1.907398,1.569843,-1.777066,-1.571008,-0.001211,-1.574957,-1.907521,1.569856,-1.776960,-1.571174,-0.003383,-0.003180,-0.000123,0.000013,0.000105,-0.000166,-0.002172,0.121927,-0.737058,0.146800,0.132485,-0.735436,0.146651,-0.001637,0.008265,0.963199,-0.268658,-0.000396,-0.000083,0.963259,-0.268574,2.597631,-0.007595,-3.126549,2.597769,-0.000719,3.141221,0.016881,-0.010559,-0.001622,0.000149,-0.011981,-0.123973,-0.992213,0.016881,-16.994907,-3.578431,0.407912,0.024617,0.001480,-0.005088,9.449000,9.652000
