t,dt,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,e_q_0,e_q_1,e_q_2,e_q_3,e_q_4,e_q_5,x_des_x,x_des_y,x_des_z,x_meas_x,x_meas_y,x_meas_z,q_des_w,q_des_x,q_des_y,q_des_z,q_meas_w,q_meas_x,q_meas_y,q_meas_z,euler_des_r,euler_des_p,euler_des_y,euler_meas_r,euler_meas_p,euler_meas_y,e_R_angle,pos_err_x,pos_err_y,pos_err_z,ori_err_axis_x,ori_err_axis_y,ori_err_axis_z,ori_err_angle,u_control_0,u_control_1,u_control_2,u_control_3,u_control_4,u_control_5,ik_ms,loop_ms
4.287681,4.287681,-1.569952,-1.907712,1.570006,-1.777014,-1.570010,-0.000023,-1.571621,-1.907399,1.569761,-1.777083,-1.571371,-0.001291,-0.001669,0.000312,-0.000245,-0.000069,-0.001362,-0.001268,0.123000,-0.737103,0.146759,0.134496,-0.735101,0.146713,-0.001611,0.007004,0.963214,-0.268640,0.000489,-0.000524,0.963246,-0.268621,2.597660,-0.006867,-3.128966,2.597670,0.001224,3.140847,0.015630,-0.011496,-0.002002,0.000046,-0.003048,0.000159,-0.999995,0.015630,-11.757274,6.006576,-2.239925,-0.015834,-0.072878,-0.003265,41.022000,41.516000
4.297721,0.010040,-1.569952,-1.907712,1.570006,-1.777014,-1.570010,-0.000023,-1.571709,-1.907439,1.569761,-1.777043,-1.571326,-0.001366,-0.001757,0.000273,-0.000245,-0.000029,-0.001316,-0.001343,0.122850,-0.737053,0.146809,0.134496,-0.735101,0.146713,-0.001611,0.007004,0.963214,-0.268640,0.000489,-0.000524,0.963246,-0.268621,2.597660,-0.006867,-3.128966,2.597670,0.001224,3.140847,0.015630,-0.011646,-0.001952,0.000096,-0.003048,0.000159,-0.999995,0.015630,-12.117988,5.000830,-2.204975,-0.006537,-0.070440,-0.003459,9.444000,9.831000
4.307135,0.009414,-1.569971,-1.907719,1.569997,-1.776985,-1.570013,0.000010,-1.571807,-1.907480,1.569748,-1.776977,-1.571288,-0.001403,-0.001836,0.000239,-0.000249,0.000008,-0.001275,-0.001413,0.122700,-0.737003,0.146859,0.134478,-0.735091,0.146712,-0.001611,0.007004,0.963214,-0.268640,0.000489,-0.000498,0.963247,-0.268615,2.597660,-0.006867,-3.128966,2.597682,0.001210,3.140896,0.015580,-0.011777,-0.001911,0.000147,-0.003849,0.001069,-0.999992,0.015580,-12.446154,4.117778,-2.203186,0.002032,-0.068231,-0.003639,8.951000,9.176000
4.316796,0.009661,-1.569973,-1.907684,1.569994,-1.776994,-1.569975,-0.000035,-1.571885,-1.907482,1.569735,-1.776939,-1.571223,-0.001514,-0.001913,0.000202,-0.000259,0.000054,-0.001247,-0.001479,0.122551,-0.736953,0.146909,0.134506,-0.735097,0.146693,-0.001611,0.007004,0.963214,-0.268640,0.000501,-0.000524,0.963250,-0.268604,2.597660,-0.006867,-3.128966,2.597706,0.001247,3.140853,0.015637,-0.011956,-0.001856,0.000216,-0.005354,0.001660,-0.999984,0.015637,-12.742660,3.085012,-2.242850,0.012751,-0.066768,-0.003809,9.227000,9.419000
4.326133,0.009337,-1.570005,-1.907653,1.570048,-1.777019,-1.570039,0.000018,-1.572027,-1.907491,1.569765,-1.776903,-1.571201,-0.001552,-0.002023,0.000162,-0.000283,0.000116,-0.001163,-0.001570,0.122401,-0.736903,0.146959,0.134434,-0.735092,0.146635,-0.001611,0.007004,0.963214,-0.268640,0.000474,-0.000474,0.963258,-0.268575,2.597660,-0.006867,-3.128966,2.597766,0.001167,3.140934,0.015527,-0.012033,-0.001811,0.000323,-0.009245,-0.000013,-0.999957,0.015527,-13.212485,1.875971,-2.399016,0.026998,-0.062244,-0.004044,8.896000,9.101000
4.335607,0.009473,-1.570137,-1.907688,1.569998,-1.776945,-1.570102,-0.000122,-1.572728,-1.907473,1.569672,-1.776825,-1.571509,-0.002153,-0.002591,0.000215,-0.000326,0.000120,-0.001407,-0.002030,0.122251,-0.736853,0.147009,0.134298,-0.735091,0.146667,-0.001611,0.007004,0.963214,-0.268640,0.000407,-0.000470,0.963257,-0.268581,2.597660,-0.006867,-3.128966,2.597755,0.001036,3.140906,0.015483,-0.012047,-0.001762,0.000341,-0.008614,-0.008201,-0.999929,0.015483,-14.162152,0.744727,-2.165023,0.034027,-0.056391,-0.004421,9.022000,9.226000
4.345865,0.010258,-1.570528,-1.907591,1.569853,-1.777042,-1.570382,-0.000386,-1.573354,-1.907657,1.569619,-1.776899,-1.571300,-0.002590,-0.002826,-0.000067,-0.000234,0.000143,-0.000917,-0.002204,0.122102,-0.736803,0.147058,0.133818,-0.735255,0.146772,-0.001611,0.007004,0.963214,-0.268640,0.000183,-0.000371,0.963238,-0.268650,2.597660,-0.006867,-3.128966,2.597610,0.000553,3.140977,0.015179,-0.011717,-0.001548,0.000287,0.000560,-0.033256,-0.999447,0.015179,-15.184170,-2.924354,-1.023583,0.045537,-0.035802,-0.004948,9.817000,10.011000
4.355212,0.009347,-1.570878,-1.907593,1.569888,-1.777070,-1.570668,-0.000713,-1.574066,-1.907747,1.569741,-1.776798,-1.571193,-0.003135,-0.003188,-0.000155,-0.000147,0.000272,-0.000525,-0.002422,0.121952,-0.736753,0.147108,0.133369,-0.735303,0.146757,-0.001611,0.007004,0.963214,-0.268640,-0.000045,-0.000321,0.963238,-0.268648,2.597660,-0.006867,-3.128966,2.597614,0.000086,3.140950,0.014980,-0.011417,-0.001450,0.000351,0.000076,-0.061293,-0.998120,0.014980,-16.632644,-5.636583,-0.480152,0.064524,-0.014883,-0.005523,8.809000,9.089000
4.364563,0.009352,-1.571237,-1.907487,1.569757,-1.777053,-1.570908,-0.000953,-1.574668,-1.907775,1.569707,-1.776714,-1.571099,-0.003524,-0.003430,-0.000289,-0.000050,0.000340,-0.000190,-0.002571,0.121803,-0.736703,0.147158,0.132942,-0.735395,0.146785,-0.001611,0.007004,0.963214,-0.268640,-0.000241,-0.000232,0.963237,-0.268652,2.597660,-0.006867,-3.128966,2.597606,-0.000340,3.141017,0.014728,-0.011139,-0.001309,0.000373,0.000446,-0.084757,-0.996402,0.014728,-17.689220,-8.440732,0.245370,0.078692,0.002923,-0.006001,8.845000,9.087000
4.374004,0.009441,-1.571561,-1.907503,1.569734,-1.777049,-1.571165,-0.001148,-1.575205,-1.907937,1.569758,-1.776654,-1.570943,-0.003848,-0.003644,-0.000434,0.000024,0.000396,0.000223,-0.002700,0.121653,-0.736654,0.147208,0.132526,-0.735445,0.146815,-0.001611,0.007004,0.963214,-0.268640,-0.000435,-0.000135,0.963232,-0.268669,2.597660,-0.006867,-3.128966,2.597571,-0.000765,3.141099,0.014470,-0.010872,-0.001209,0.000393,0.002701,-0.108458,-0.994097,0.014470,-18.796088,-10.953974,0.846409,0.091691,0.021035,-0.006480,8.982000,9.203000
4.383695,0.009691,-1.571785,-1.907562,1.569775,-1.777066,-1.571186,-0.001324,-1.575497,-1.908074,1.569828,-1.776624,-1.570777,-0.004101,-0.003712,-0.000512,0.000053,0.000442,0.000409,-0.002777,0.121504,-0.736604,0.147258,0.132355,-0.735468,0.146831,-0.001611,0.007004,0.963214,-0.268640,-0.000499,-0.000109,0.963228,-0.268686,2.597660,-0.006867,-3.128966,2.597536,-0.000902,3.141114,0.014399,-0.010851,-0.001136,0.000426,0.005061,-0.116584,-0.993168,0.014399,-19.272530,-12.357764,1.057302,0.101796,0.028218,-0.006722,9.202000,9.412000
4.393057,0.009363,-1.572000,-1.907544,1.569681,-1.777017,-1.571233,-0.001484,-1.575844,-1.908147,1.569781,-1.776535,-1.570618,-0.004352,-0.003844,-0.000603,0.000100,0.000481,0.000615,-0.002868,0.121355,-0.736554,0.147307,0.132170,-0.735508,0.146875,-0.001611,0.007004,0.963214,-0.268640,-0.000571,-0.000076,0.963224,-0.268698,2.597660,-0.006867,-3.128966,2.597510,-0.001060,3.141139,0.014312,-0.010816,-0.001046,0.000432,0.006843,-0.125877,-0.992022,0.014312,-19.798614,-13.967041,1.467960,0.109796,0.036243,-0.006989,8.937000,9.132000
4.402276,0.009218,-1.572127,-1.907527,1.569761,-1.777034,-1.571267,-0.001553,-1.576098,-1.908180,1.569836,-1.776467,-1.570488,-0.004536,-0.003971,-0.000653,0.000075,0.000567,0.000780,-0.002983,0.121206,-0.736504,0.147357,0.132055,-0.735500,0.146801,-0.001611,0.007004,0.963214,-0.268640,-0.000614,-0.000044,0.963235,-0.268660,2.597660,-0.006867,-3.128966,2.597590,-0.001160,3.141178,0.014235,-0.010849,-0.001004,0.000556,0.001240,-0.131104,-0.991368,0.014235,-20.303386,-15.245747,1.262362,0.125762,0.042010,-0.007229,8.773000,8.974000
4.412166,0.009890,-1.572314,-1.907600,1.569709,-1.777022,-1.571311,-0.001808,-1.576520,-1.908334,1.569854,-1.776444,-1.570364,-0.004929,-0.004206,-0.000734,0.000145,0.000578,0.000947,-0.003121,0.121057,-0.736455,0.147407,0.131899,-0.735541,0.146894,-0.001611,0.007004,0.963214,-0.268640,-0.000695,-0.000071,0.963220,-0.268714,2.597660,-0.006867,-3.128966,2.597478,-0.001300,3.141083,0.014268,-0.010842,-0.000913,0.000513,0.009015,-0.142710,-0.989723,0.014268,-21.024140,-16.842937,1.873549,0.130912,0.050842,-0.007544,9.435000,9.630000
4.421379,0.009213,-1.572630,-1.907604,1.569754,-1.776982,-1.571273,-0.001931,-1.576995,-1.908391,1.569876,-1.776313,-1.570247,-0.005157,-0.004365,-0.000787,0.000122,0.000669,0.001026,-0.003226,0.120908,-0.736405,0.147456,0.131700,-0.735542,0.146837,-0.001611,0.007004,0.963214,-0.268640,-0.000735,0.000017,0.963231,-0.268674,2.597660,-0.006867,-3.128966,2.597559,-0.001426,3.141230,0.014083,-0.010792,-0.000863,0.000619,0.003340,-0.146790,-0.989162,0.014083,-21.312856,-17.894613,1.682044,0.144485,0.054928,-0.007697,8.764000,8.979000
4.430769,0.009390,-1.572921,-1.907664,1.569775,-1.776918,-1.571256,-0.002138,-1.577381,-1.908519,1.569905,-1.776211,-1.570073,-0.005482,-0.004460,-0.000855,0.000130,0.000707,0.001182,-0.003344,0.120759,-0.736355,0.147506,0.131509,-0.735538,0.146831,-0.001611,0.007004,0.963214,-0.268640,-0.000794,0.000055,0.963234,-0.268662,2.597660,-0.006867,-3.128966,2.597584,-0.001559,3.141272,0.013993,-0.010751,-0.000818,0.000675,0.001516,-0.154291,-0.988024,0.013993,-21.740015,-19.036495,1.731466,0.153989,0.061147,-0.007910,8.849000,9.051000
4.440292,0.009523,-1.573300,-1.907707,1.569750,-1.776873,-1.571224,-0.002440,-1.577915,-1.908642,1.569910,-1.776117,-1.569880,-0.005888,-0.004615,-0.000935,0.000160,0.000756,0.001344,-0.003448,0.120610,-0.736306,0.147556,0.131269,-0.735574,0.146862,-0.001611,0.007004,0.963214,-0.268640,-0.000870,0.000088,0.963231,-0.268673,2.597660,-0.006867,-3.128966,2.597561,-0.001723,3.141295,0.013911,-0.010659,-0.000732,0.000694,0.003102,-0.164467,-0.986378,0.013911,-22.177685,-20.461669,2.021888,0.162662,0.068448,-0.008125,9.095000,9.290000
4.449677,0.009385,-1.573736,-1.907813,1.569770,-1.776850,-1.571143,-0.002701,-1.578441,-1.908799,1.569954,-1.776060,-1.569689,-0.006202,-0.004706,-0.000987,0.000184,0.000790,0.001453,-0.003501,0.120461,-0.736256,0.147605,0.131021,-0.735612,0.146910,-0.001611,0.007004,0.963214,-0.268640,-0.000925,0.000161,0.963223,-0.268703,2.597660,-0.006867,-3.128966,2.597499,-0.001868,3.141406,0.013754,-0.010559,-0.000644,0.000695,0.007611,-0.171204,-0.985206,0.013754,-22.385755,-21.515810,2.274368,0.169096,0.073369,-0.008255,8.913000,9.112000
4.458966,0.009288,-1.574101,-1.907928,1.569754,-1.776761,-1.571050,-0.003048,-1.578891,-1.908975,1.569966,-1.775950,-1.569482,-0.006620,-0.004790,-0.001047,0.000211,0.000811,0.001567,-0.003572,0.120312,-0.736207,0.147655,0.130838,-0.735620,0.146964,-0.001611,0.007004,0.963214,-0.268640,-0.000975,0.000158,0.963217,-0.268723,2.597660,-0.006867,-3.128966,2.597458,-0.001964,3.141372,0.013752,-0.010525,-0.000586,0.000691,0.010582,-0.178496,-0.983884,0.013752,-22.728552,-22.508541,2.540459,0.173983,0.078600,-0.008422,8.858000,9.051000
4.468005,0.009039,-1.574512,-1.908000,1.569754,-1.776771,-1.570968,-0.003344,-1.579409,-1.909100,1.569999,-1.775936,-1.569303,-0.006972,-0.004897,-0.001101,0.000245,0.000834,0.001665,-0.003628,0.120164,-0.736157,0.147704,0.130609,-0.735680,0.147021,-0.001611,0.007004,0.963214,-0.268640,-0.001031,0.000202,0.963206,-0.268762,2.597660,-0.006867,-3.128966,2.597377,-0.002095,3.141428,0.013655,-0.010446,-0.000477,0.000683,0.016551,-0.185946,-0.982421,0.013655,-22.968198,-23.768210,2.891475,0.180689,0.083771,-0.008569,8.604000,8.804000
4.477599,0.009594,-1.574852,-1.908102,1.569795,-1.776702,-1.570925,-0.003620,-1.579844,-1.909242,1.570043,-1.775814,-1.569133,-0.007331,-0.004992,-0.001140,0.000248,0.000888,0.001792,-0.003710,0.120015,-0.736108,0.147754,0.130405,-0.735672,0.147027,-0.001611,0.007004,0.963214,-0.268640,-0.001093,0.000227,0.963207,-0.268759,2.597660,-0.006867,-3.128966,2.597384,-0.002228,3.141442,0.013595,-0.010390,-0.000435,0.000727,0.016039,-0.194554,-0.980761,0.013595,-23.409330,-24.772565,2.959362,0.189711,0.089979,-0.008766,9.104000,9.327000
4.486867,0.009268,-1.575261,-1.908189,1.569818,-1.776615,-1.570802,-0.003982,-1.580325,-1.909370,1.570071,-1.775671,-1.568908,-0.007741,-0.005064,-0.001181,0.000253,0.000943,0.001893,-0.003759,0.119867,-0.736058,0.147803,0.130212,-0.735670,0.147026,-0.001611,0.007004,0.963214,-0.268640,-0.001138,0.000233,0.963210,-0.268747,2.597660,-0.006867,-3.128966,2.597407,-0.002317,3.141431,0.013575,-0.010345,-0.000388,0.000777,0.014270,-0.200856,-0.979517,0.013575,-23.680600,-25.663543,2.978344,0.198411,0.094364,-0.008896,8.812000,9.009000
