t,dt,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,e_q_0,e_q_1,e_q_2,e_q_3,e_q_4,e_q_5,x_des_x,x_des_y,x_des_z,x_meas_x,x_meas_y,x_meas_z,q_des_w,q_des_x,q_des_y,q_des_z,q_meas_w,q_meas_x,q_meas_y,q_meas_z,euler_des_r,euler_des_p,euler_des_y,euler_meas_r,euler_meas_p,euler_meas_y,e_R_angle,pos_err_x,pos_err_y,pos_err_z,ori_err_axis_x,ori_err_axis_y,ori_err_axis_z,ori_err_angle,u_control_0,u_control_1,u_control_2,u_control_3,u_control_4,u_control_5,ik_ms,loop_ms
4.148147,4.148147,-1.569952,-1.907720,1.570002,-1.777027,-1.569992,0.000031,-1.585124,-1.907921,1.570118,-1.776915,-1.570016,-0.000028,-0.015172,-0.000201,0.000116,0.000112,-0.000025,-0.000059,0.123338,-0.737044,0.146718,0.134506,-0.735109,0.146729,-0.001553,0.006782,0.963222,-0.268616,0.000505,-0.000500,0.963242,-0.268634,2.597707,-0.006635,-3.129360,2.597645,0.001241,3.140901,0.015135,-0.011168,-0.001934,-0.000011,0.001818,0.003405,-0.999993,0.015135,-1.585124,-1.907921,1.570118,-1.776915,-1.570016,-0.000028,9.435000,9.970000
4.152514,0.004367,-1.569952,-1.907720,1.570002,-1.777027,-1.569992,0.000031,-1.585600,-1.908134,1.570115,-1.776699,-1.569770,-0.000436,-0.015648,-0.000414,0.000113,0.000328,0.000222,-0.000466,0.123188,-0.736994,0.146768,0.134506,-0.735109,0.146729,-0.001553,0.006782,0.963222,-0.268616,0.000505,-0.000500,0.963242,-0.268634,2.597707,-0.006635,-3.129360,2.597645,0.001241,3.140901,0.015135,-0.011318,-0.001884,0.000039,0.001818,0.003405,-0.999993,0.015135,-1.585600,-1.908134,1.570115,-1.776699,-1.569770,-0.000436,3.702000,4.166000
4.157072,0.004557,-1.569931,-1.907712,1.570022,-1.777010,-1.569963,0.000005,-1.586076,-1.908348,1.570113,-1.776482,-1.569524,-0.000843,-0.016146,-0.000637,0.000091,0.000529,0.000439,-0.000848,0.123038,-0.736944,0.146818,0.134544,-0.735089,0.146697,-0.001553,0.006782,0.963222,-0.268616,0.000518,-0.000526,0.963248,-0.268612,2.597707,-0.006635,-3.129360,2.597690,0.001281,3.140857,0.015193,-0.011506,-0.001855,0.000121,-0.001164,0.004146,-0.999991,0.015193,-1.586076,-1.908348,1.570113,-1.776482,-1.569524,-0.000843,3.641000,4.074000
4.161648,0.004576,-1.569931,-1.907712,1.570022,-1.777010,-1.569963,0.000005,-1.586552,-1.908561,1.570110,-1.776265,-1.569278,-0.001250,-0.016621,-0.000850,0.000088,0.000745,0.000685,-0.001255,0.122888,-0.736894,0.146868,0.134544,-0.735089,0.146697,-0.001553,0.006782,0.963222,-0.268616,0.000518,-0.000526,0.963248,-0.268612,2.597707,-0.006635,-3.129360,2.597690,0.001281,3.140857,0.015193,-0.011656,-0.001805,0.000171,-0.001164,0.004146,-0.999991,0.015193,-1.586552,-1.908561,1.570110,-1.776265,-1.569278,-0.001250,3.606000,4.083000
4.166514,0.004866,-1.570030,-1.907679,1.570006,-1.777022,-1.570046,-0.000016,-1.587026,-1.908770,1.570106,-1.776052,-1.569033,-0.001656,-0.016996,-0.001091,0.000100,0.000970,0.001013,-0.001640,0.122738,-0.736844,0.146918,0.134412,-0.735115,0.146693,-0.001553,0.006782,0.963222,-0.268616,0.000462,-0.000477,0.963249,-0.268609,2.597707,-0.006635,-3.129360,2.597695,0.001147,3.140921,0.015069,-0.011673,-0.001729,0.000225,-0.001526,-0.001207,-0.999998,0.015069,-1.587026,-1.908770,1.570106,-1.776052,-1.569033,-0.001656,3.814000,4.296000
4.171417,0.004903,-1.569965,-1.907729,1.570002,-1.776985,-1.570004,0.000010,-1.587503,-1.908985,1.570104,-1.775834,-1.568786,-0.002064,-0.017538,-0.001256,0.000102,0.001150,0.001219,-0.002073,0.122589,-0.736794,0.146968,0.134488,-0.735088,0.146715,-0.001553,0.006782,0.963222,-0.268616,0.000494,-0.000502,0.963247,-0.268618,2.597707,-0.006635,-3.129360,2.597677,0.001222,3.140891,0.015134,-0.011900,-0.001706,0.000253,-0.000365,0.001994,-0.999998,0.015134,-1.587503,-1.908985,1.570104,-1.775834,-1.568786,-0.002064,3.890000,4.423000
4.175981,0.004564,-1.569969,-1.907703,1.570043,-1.777015,-1.570004,-0.000002,-1.587977,-1.909198,1.570101,-1.775619,-1.568541,-0.002470,-0.018008,-0.001495,0.000058,0.001396,0.001464,-0.002468,0.122439,-0.736744,0.147018,0.134486,-0.735088,0.146674,-0.001553,0.006782,0.963222,-0.268616,0.000492,-0.000506,0.963252,-0.268600,2.597707,-0.006635,-3.129360,2.597715,0.001220,3.140883,0.015139,-0.012047,-0.001656,0.000344,-0.002855,0.001609,-0.999995,0.015139,-1.587977,-1.909198,1.570101,-1.775619,-1.568541,-0.002470,3.416000,3.932000
4.179346,0.003364,-1.570030,-1.907670,1.569990,-1.777010,-1.570004,-0.000016,-1.588427,-1.909176,1.569951,-1.775488,-1.568308,-0.002854,-0.018397,-0.001506,-0.000039,0.001522,0.001697,-0.002839,0.122290,-0.736694,0.147068,0.134442,-0.735115,0.146695,-0.001553,0.006782,0.963222,-0.268616,0.000482,-0.000483,0.963249,-0.268607,2.597707,-0.006635,-3.129360,2.597699,0.001189,3.140921,0.015091,-0.012153,-0.001579,0.000373,-0.001792,0.001149,-0.999998,0.015091,-1.588427,-1.909176,1.569951,-1.775488,-1.568308,-0.002854,2.535000,2.913000
4.182037,0.002691,-1.570051,-1.907678,1.570048,-1.776956,-1.570029,-0.000002,-1.588906,-1.909383,1.569944,-1.775273,-1.568060,-0.003264,-0.018855,-0.001705,-0.000104,0.001683,0.001969,-0.003261,0.122140,-0.736645,0.147117,0.134408,-0.735064,0.146622,-0.001553,0.006782,0.963222,-0.268616,0.000469,-0.000463,0.963264,-0.268557,2.597707,-0.006635,-3.129360,2.597803,0.001153,3.140952,0.015046,-0.012268,-0.001580,0.000495,-0.008745,0.000249,-0.999962,0.015046,-1.588906,-1.909383,1.569944,-1.775273,-1.568060,-0.003264,2.250000,2.435000
4.184783,0.002746,-1.570233,-1.907679,1.569997,-1.777015,-1.570013,-0.000007,-1.589384,-1.909590,1.569937,-1.775058,-1.567812,-0.003673,-0.019152,-0.001911,-0.000060,0.001957,0.002201,-0.003667,0.121991,-0.736595,0.147167,0.134286,-0.735142,0.146697,-0.001553,0.006782,0.963222,-0.268616,0.000452,-0.000380,0.963249,-0.268610,2.597707,-0.006635,-3.129360,2.597692,0.001075,3.141104,0.014875,-0.012295,-0.001453,0.000470,-0.001403,0.000985,-0.999999,0.014875,-1.589384,-1.909590,1.569937,-1.775058,-1.567812,-0.003673,2.333000,2.538000
