t,dt,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,e_q_0,e_q_1,e_q_2,e_q_3,e_q_4,e_q_5,x_des_x,x_des_y,x_des_z,x_meas_x,x_meas_y,x_meas_z,q_des_w,q_des_x,q_des_y,q_des_z,q_meas_w,q_meas_x,q_meas_y,q_meas_z,euler_des_r,euler_des_p,euler_des_y,euler_meas_r,euler_meas_p,euler_meas_y,e_R_angle,pos_err_x,pos_err_y,pos_err_z,ori_err_axis_x,ori_err_axis_y,ori_err_axis_z,ori_err_angle,u_control_0,u_control_1,u_control_2,u_control_3,u_control_4,u_control_5,ik_ms,loop_ms
9.465444,9.465444,-1.635488,-1.627215,1.813450,-2.385428,-1.701072,0.226354,-1.635488,-1.627215,1.813450,-2.385428,-1.701072,0.226354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031187,-0.905800,0.017398,-0.031229,-0.905803,0.017410,1.000000,0.000000,0.000000,0.000000,-0.036802,0.157522,0.936079,-0.312390,-0.000000,0.000000,-0.000000,2.521088,-0.168106,-2.862169,3.067973,0.000042,0.000003,-0.000012,0.157629,0.936714,-0.312602,3.067973,-1.635488,-1.627215,1.813450,-2.385428,-1.701072,0.226354,1.051000,1.277000
9.470328,0.004884,-1.635488,-1.627215,1.813450,-2.385428,-1.701072,0.226354,-1.636466,-1.627743,1.814011,-2.385676,-1.699845,0.225495,-0.000978,-0.000528,0.000561,-0.000248,0.001227,-0.000859,-0.031187,-0.905800,0.017398,-0.031229,-0.905803,0.017410,1.000000,0.000000,0.000000,0.000000,-0.036802,0.157522,0.936079,-0.312390,-0.000000,0.000000,-0.000000,2.521088,-0.168106,-2.862169,3.067973,0.000042,0.000003,-0.000012,0.157629,0.936714,-0.312602,3.067973,-1.636466,-1.627743,1.814011,-2.385676,-1.699845,0.225495,3.890000,4.199000
9.472230,0.001902,-1.635488,-1.627215,1.813450,-2.385428,-1.701072,0.226354,-1.636466,-1.627743,1.814011,-2.385676,-1.699845,0.225495,-0.000978,-0.000528,0.000561,-0.000248,0.001227,-0.000859,-0.031187,-0.905800,0.017398,-0.031229,-0.905803,0.017410,1.000000,0.000000,0.000000,0.000000,-0.036802,0.157522,0.936079,-0.312390,-0.000000,0.000000,-0.000000,2.521088,-0.168106,-2.862169,3.067973,0.000042,0.000003,-0.000012,0.157629,0.936714,-0.312602,3.067973,-1.636466,-1.627743,1.814011,-2.385676,-1.699845,0.225495,1.485000,1.777000
9.474825,0.002595,-1.635437,-1.627194,1.813474,-2.385392,-1.701072,0.226317,-1.636296,-1.628268,1.815418,-2.387171,-1.700058,0.225493,-0.000859,-0.001075,0.001944,-0.001779,0.001014,-0.000824,-0.031187,-0.905800,0.017398,-0.031178,-0.905771,0.017349,1.000000,0.000000,0.000000,0.000000,-0.036803,0.157480,0.936099,-0.312352,-0.000000,0.000000,-0.000000,2.521162,-0.168072,-2.862245,3.067969,-0.000008,-0.000029,0.000049,0.157587,0.936734,-0.312564,3.067969,-1.636296,-1.628268,1.815418,-2.387171,-1.700058,0.225493,1.764000,1.998000
9.476929,0.002104,-1.635437,-1.627194,1.813474,-2.385392,-1.701072,0.226317,-1.636466,-1.627743,1.814011,-2.385676,-1.699845,0.225495,-0.001029,-0.000549,0.000537,-0.000284,0.001227,-0.000822,-0.031187,-0.905800,0.017398,-0.031178,-0.905771,0.017349,1.000000,0.000000,0.000000,0.000000,-0.036803,0.157480,0.936099,-0.312352,-0.000000,0.000000,-0.000000,2.521162,-0.168072,-2.862245,3.067969,-0.000008,-0.000029,0.000049,0.157587,0.936734,-0.312564,3.067969,-1.636466,-1.627743,1.814011,-2.385676,-1.699845,0.225495,1.648000,1.863000
9.479017,0.002089,-1.635434,-1.627148,1.813486,-2.385404,-1.701068,0.226329,-1.636465,-1.627743,1.814011,-2.385676,-1.699845,0.225495,-0.001031,-0.000595,0.000525,-0.000272,0.001224,-0.000834,-0.031187,-0.905800,0.017398,-0.031174,-0.905763,0.017303,1.000000,0.000000,0.000000,0.000000,-0.036802,0.157484,0.936106,-0.312331,-0.000000,0.000000,-0.000000,2.521208,-0.168065,-2.862234,3.067972,-0.000013,-0.000037,0.000095,0.157591,0.936740,-0.312542,3.067972,-1.636465,-1.627743,1.814011,-2.385676,-1.699845,0.225495,1.553000,1.842000
9.481373,0.002355,-1.635454,-1.627186,1.813486,-2.385407,-1.701008,0.226351,-1.636396,-1.627703,1.813969,-2.385666,-1.699886,0.226191,-0.000942,-0.000517,0.000483,-0.000259,0.001123,-0.000160,-0.031187,-0.905800,0.017398,-0.031150,-0.905776,0.017333,1.000000,0.000000,0.000000,0.000000,-0.036771,0.157495,0.936099,-0.312348,-0.000000,0.000000,-0.000000,2.521166,-0.168018,-2.862197,3.068034,-0.000037,-0.000024,0.000065,0.157602,0.936733,-0.312559,3.068034,-1.636396,-1.627703,1.813969,-2.385666,-1.699886,0.226191,1.587000,1.829000
9.483612,0.002240,-1.635454,-1.627186,1.813486,-2.385407,-1.701008,0.226351,-1.636396,-1.627703,1.813969,-2.385666,-1.699886,0.226191,-0.000942,-0.000517,0.000483,-0.000259,0.001123,-0.000160,-0.031187,-0.905800,0.017398,-0.031150,-0.905776,0.017333,1.000000,0.000000,0.000000,0.000000,-0.036771,0.157495,0.936099,-0.312348,-0.000000,0.000000,-0.000000,2.521166,-0.168018,-2.862197,3.068034,-0.000037,-0.000024,0.000065,0.157602,0.936733,-0.312559,3.068034,-1.636396,-1.627703,1.813969,-2.385666,-1.699886,0.226191,1.721000,1.960000
9.485804,0.002192,-1.635454,-1.627156,1.813474,-2.385465,-1.701050,0.226329,-1.637324,-1.628802,1.815964,-2.387407,-1.698824,0.224638,-0.001871,-0.001646,0.002490,-0.001942,0.002226,-0.001691,-0.031187,-0.905800,0.017398,-0.031181,-0.905803,0.017353,1.000000,0.000000,0.000000,0.000000,-0.036792,0.157491,0.936092,-0.312368,-0.000000,0.000000,-0.000000,2.521127,-0.168062,-2.862221,3.067991,-0.000006,0.000003,0.000045,0.157598,0.936727,-0.312580,3.067991,-1.637324,-1.628802,1.815964,-2.387407,-1.698824,0.224638,1.691000,1.930000
9.487813,0.002009,-1.635454,-1.627156,1.813474,-2.385465,-1.701050,0.226329,-1.637324,-1.628802,1.815964,-2.387407,-1.698824,0.224638,-0.001871,-0.001646,0.002490,-0.001942,0.002226,-0.001691,-0.031187,-0.905800,0.017398,-0.031181,-0.905803,0.017353,1.000000,0.000000,0.000000,0.000000,-0.036792,0.157491,0.936092,-0.312368,-0.000000,0.000000,-0.000000,2.521127,-0.168062,-2.862221,3.067991,-0.000006,0.000003,0.000045,0.157598,0.936727,-0.312580,3.067991,-1.637324,-1.628802,1.815964,-2.387407,-1.698824,0.224638,1.526000,1.762000
9.489903,0.002089,-1.635430,-1.627207,1.813483,-2.385407,-1.701026,0.226318,-1.637324,-1.628802,1.815964,-2.387407,-1.698824,0.224638,-0.001895,-0.001595,0.002481,-0.002000,0.002202,-0.001680,-0.031187,-0.905800,0.017398,-0.031140,-0.905780,0.017357,1.000000,0.000000,0.000000,0.000000,-0.036780,0.157471,0.936099,-0.312360,-0.000000,0.000000,-0.000000,2.521139,-0.168024,-2.862251,3.068017,-0.000047,-0.000020,0.000040,0.157578,0.936733,-0.312572,3.068017,-1.637324,-1.628802,1.815964,-2.387407,-1.698824,0.224638,1.621000,1.852000
