t,dt,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,e_q_0,e_q_1,e_q_2,e_q_3,e_q_4,e_q_5,x_des_x,x_des_y,x_des_z,x_meas_x,x_meas_y,x_meas_z,q_des_w,q_des_x,q_des_y,q_des_z,q_meas_w,q_meas_x,q_meas_y,q_meas_z,euler_des_r,euler_des_p,euler_des_y,euler_meas_r,euler_meas_p,euler_meas_y,e_R_angle,pos_err_x,pos_err_y,pos_err_z,ori_err_axis_x,ori_err_axis_y,ori_err_axis_z,ori_err_angle,u_control_0,u_control_1,u_control_2,u_control_3,u_control_4,u_control_5,ik_ms,loop_ms
4.146598,4.146598,-1.569969,-1.907775,1.570009,-1.777018,-1.569963,-0.000035,-1.571726,-1.907689,1.569953,-1.777054,-1.569749,-0.000379,-0.001758,0.000086,-0.000055,-0.000036,0.000215,-0.000344,0.121998,-0.737300,0.146780,0.134518,-0.735105,0.146759,-0.001765,0.007696,0.963202,-0.268664,0.000508,-0.000527,0.963237,-0.268652,2.597617,-0.007536,-3.127714,2.597606,0.001261,3.140850,0.017064,-0.012520,-0.002196,0.000021,-0.002026,-0.002331,-0.999995,0.017064,-22.215891,-2.085374,-20.302771,-1.868657,0.023362,-0.001772,38.008000,38.434000
4.155465,0.008868,-1.569969,-1.907775,1.570009,-1.777018,-1.569963,-0.000035,-1.571726,-1.907696,1.569958,-1.777051,-1.569749,-0.000378,-0.001758,0.000079,-0.000051,-0.000033,0.000214,-0.000344,0.121998,-0.737275,0.146780,0.134518,-0.735105,0.146759,-0.001765,0.007696,0.963202,-0.268664,0.000508,-0.000527,0.963237,-0.268652,2.597617,-0.007536,-3.127714,2.597606,0.001261,3.140850,0.017064,-0.012520,-0.002171,0.000021,-0.002026,-0.002331,-0.999995,0.017064,-22.153452,-2.390892,-20.220134,-1.867245,0.023345,-0.001771,8.323000,8.707000
4.163932,0.008466,-1.570030,-1.907646,1.570003,-1.776969,-1.569987,-0.000014,-1.571785,-1.907596,1.569958,-1.777005,-1.569771,-0.000359,-0.001755,0.000050,-0.000044,-0.000036,0.000217,-0.000345,0.121999,-0.737250,0.146780,0.134455,-0.735087,0.146644,-0.001765,0.007696,0.963202,-0.268664,0.000491,-0.000485,0.963260,-0.268570,2.597617,-0.007536,-3.127714,2.597778,0.001206,3.140922,0.016974,-0.012456,-0.002164,0.000136,-0.012184,-0.002841,-0.999922,0.016974,-21.877865,-3.820264,-20.109954,-1.868862,0.023558,-0.001777,8.047000,8.230000
4.171874,0.007942,-1.569961,-1.907697,1.569990,-1.777022,-1.569971,0.000010,-1.571715,-1.907643,1.569949,-1.777049,-1.569760,-0.000334,-0.001754,0.000054,-0.000041,-0.000027,0.000211,-0.000343,0.121999,-0.737225,0.146781,0.134516,-0.735113,0.146720,-0.001765,0.007696,0.963202,-0.268664,0.000511,-0.000509,0.963244,-0.268626,2.597617,-0.007536,-3.127714,2.597660,0.001258,3.140887,0.017030,-0.012517,-0.002113,0.000060,-0.005245,-0.001352,-0.999985,0.017030,-21.907147,-3.512070,-20.022167,-1.864353,0.023003,-0.001769,7.469000,7.695000
4.179737,0.007863,-1.569961,-1.907721,1.570006,-1.777013,-1.570034,-0.000007,-1.571726,-1.907674,1.569970,-1.777037,-1.569808,-0.000355,-0.001765,0.000047,-0.000036,-0.000024,0.000225,-0.000349,0.121999,-0.737200,0.146781,0.134471,-0.735102,0.146719,-0.001765,0.007696,0.963202,-0.268664,0.000479,-0.000508,0.963244,-0.268625,2.597617,-0.007536,-3.127714,2.597662,0.001195,3.140871,0.017011,-0.012471,-0.002099,0.000062,-0.005362,-0.005006,-0.999973,0.017011,-21.977084,-3.826281,-19.942203,-1.862954,0.024492,-0.001798,7.314000,7.502000
4.187646,0.007909,-1.570005,-1.907658,1.570039,-1.777006,-1.570039,0.000026,-1.571988,-1.907673,1.570030,-1.777010,-1.569822,-0.000312,-0.001983,-0.000015,-0.000009,-0.000004,0.000216,-0.000338,0.122000,-0.737176,0.146781,0.134433,-0.735089,0.146640,-0.001765,0.007696,0.963202,-0.268664,0.000475,-0.000470,0.963258,-0.268575,2.597617,-0.007536,-3.127714,2.597765,0.001167,3.140941,0.016938,-0.012433,-0.002087,0.000141,-0.011490,-0.004226,-0.999925,0.016938,-19.668740,-6.574138,-19.423225,-1.854109,0.023517,-0.001741,7.456000,7.681000
4.196641,0.008995,-1.570246,-1.907771,1.569997,-1.776982,-1.569884,-0.000071,-1.572217,-1.907784,1.570003,-1.776984,-1.569645,-0.000478,-0.001971,-0.000014,0.000006,-0.000002,0.000239,-0.000407,0.122001,-0.737151,0.146781,0.134374,-0.735127,0.146748,-0.001765,0.007696,0.963202,-0.268664,0.000504,-0.000422,0.963241,-0.268639,2.597617,-0.007536,-3.127714,2.597634,0.001197,3.141051,0.016858,-0.012373,-0.002023,0.000033,-0.003724,0.000559,-0.999993,0.016858,-19.810162,-5.969610,-19.153791,-1.852808,0.022724,-0.001563,8.501000,8.715000
4.204481,0.007840,-1.570685,-1.907665,1.569966,-1.777018,-1.569935,-0.000139,-1.572653,-1.907716,1.569984,-1.777010,-1.569684,-0.000540,-0.001968,-0.000050,0.000018,0.000007,0.000251,-0.000401,0.122001,-0.737126,0.146782,0.134017,-0.735217,0.146716,-0.001765,0.007696,0.963202,-0.268664,0.000411,-0.000236,0.963246,-0.268620,2.597617,-0.007536,-3.127714,2.597672,0.000919,3.141359,0.016451,-0.012015,-0.001909,0.000066,-0.006170,-0.004191,-0.999972,0.016451,-19.174274,-6.763160,-18.399163,-1.836762,0.022600,-0.001529,7.421000,7.602000
4.212495,0.008014,-1.570980,-1.907658,1.569990,-1.777038,-1.569921,-0.000218,-1.572881,-1.907708,1.570008,-1.777025,-1.569681,-0.000577,-0.001901,-0.000051,0.000018,0.000014,0.000240,-0.000359,0.122002,-0.737101,0.146782,0.133814,-0.735257,0.146699,-0.001765,0.007696,0.963202,-0.268664,0.000367,-0.000134,0.963248,-0.268615,2.597617,-0.007536,-3.127714,2.597683,0.000780,3.141532,0.016232,-0.011812,-0.001843,0.000083,-0.006999,-0.006051,-0.999957,0.016232,-18.355334,-7.925129,-18.721277,-1.840735,0.016016,-0.001409,7.504000,7.688000
4.220610,0.008115,-1.571182,-1.907650,1.569970,-1.776998,-1.569882,-0.000214,-1.573063,-1.907715,1.569998,-1.776985,-1.569656,-0.000567,-0.001881,-0.000065,0.000028,0.000013,0.000226,-0.000353,0.122003,-0.737076,0.146782,0.133694,-0.735271,0.146691,-0.001765,0.007696,0.963202,-0.268664,0.000360,-0.000040,0.963251,-0.268602,2.597617,-0.007536,-3.127714,2.597710,0.000715,-3.141477,0.016047,-0.011691,-0.001805,0.000091,-0.008755,-0.003882,-0.999954,0.016047,-18.449343,-8.338313,-18.589416,-1.842765,0.018834,-0.001484,7.662000,7.879000
4.229789,0.009179,-1.571486,-1.907651,1.570007,-1.777013,-1.569905,-0.000295,-1.573348,-1.907730,1.570041,-1.776991,-1.569676,-0.000640,-0.001862,-0.000080,0.000034,0.000023,0.000229,-0.000345,0.122005,-0.737051,0.146783,0.133458,-0.735304,0.146667,-0.001765,0.007696,0.963202,-0.268664,0.000297,0.000070,0.963254,-0.268591,2.597617,-0.007536,-3.127714,2.597732,0.000535,-3.141297,0.015800,-0.011454,-0.001747,0.000116,-0.010278,-0.007783,-0.999917,0.015800,-18.516824,-9.744003,-18.561980,-1.839245,0.023237,-0.001583,8.574000,8.812000
4.237832,0.008043,-1.571688,-1.907688,1.569966,-1.777030,-1.569758,-0.000282,-1.573432,-1.907749,1.569996,-1.777009,-1.569571,-0.000585,-0.001744,-0.000061,0.000031,0.000021,0.000187,-0.000304,0.122006,-0.737026,0.146783,0.133417,-0.735358,0.146739,-0.001765,0.007696,0.963202,-0.268664,0.000343,0.000154,0.963241,-0.268637,2.597617,-0.007536,-3.127714,2.597637,0.000577,-3.141112,0.015663,-0.011411,-0.001668,0.000045,-0.004239,0.000546,-0.999991,0.015663,-18.395365,-8.242724,-18.674632,-1.840744,0.015684,-0.001469,7.609000,7.821000
