t,dt,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,e_q_0,e_q_1,e_q_2,e_q_3,e_q_4,e_q_5,x_des_x,x_des_y,x_des_z,x_meas_x,x_meas_y,x_meas_z,q_des_w,q_des_x,q_des_y,q_des_z,q_meas_w,q_meas_x,q_meas_y,q_meas_z,euler_des_r,euler_des_p,euler_des_y,euler_meas_r,euler_meas_p,euler_meas_y,e_R_angle,pos_err_x,pos_err_y,pos_err_z,ori_err_axis_x,ori_err_axis_y,ori_err_axis_z,ori_err_angle,u_control_0,u_control_1,u_control_2,u_control_3,u_control_4,u_control_5,ik_ms,loop_ms
4.367417,4.367417,-1.569952,-1.907716,1.570015,-1.777026,-1.570005,-0.000044,-1.571316,-1.907363,1.570017,-1.777382,-1.569960,-0.000083,-0.001364,0.000353,0.000001,-0.000356,0.000045,-0.000039,0.122710,-0.737152,0.146742,0.134501,-0.735104,0.146714,-0.001626,0.007281,0.963216,-0.268626,0.000489,-0.000534,0.963245,-0.268625,2.597692,-0.007045,-3.128440,2.597663,0.001229,3.140826,0.016193,-0.011791,-0.002048,0.000028,-0.000722,-0.007661,-0.999970,0.016193,-19.828486,12.364932,-19.933681,-2.017472,0.005171,-0.000199,30.866000,31.245000
4.380832,0.013414,-1.569952,-1.907716,1.570015,-1.777026,-1.570005,-0.000044,-1.571343,-1.907379,1.570006,-1.777356,-1.569946,-0.000106,-0.001391,0.000337,-0.000009,-0.000330,0.000059,-0.000061,0.122560,-0.737102,0.146792,0.134501,-0.735104,0.146714,-0.001626,0.007281,0.963216,-0.268626,0.000489,-0.000534,0.963245,-0.268625,2.597692,-0.007045,-3.128440,2.597663,0.001229,3.140826,0.016193,-0.011941,-0.001998,0.000078,-0.000722,-0.007661,-0.999970,0.016193,-19.998142,11.371630,-20.059580,-2.005159,0.006653,-0.000317,12.889000,13.255000
4.389128,0.008296,-1.569981,-1.907658,1.570044,-1.776986,-1.570050,0.000038,-1.571396,-1.907348,1.570022,-1.777295,-1.569977,-0.000049,-0.001414,0.000310,-0.000022,-0.000309,0.000073,-0.000087,0.122410,-0.737052,0.146842,0.134442,-0.735073,0.146626,-0.001626,0.007281,0.963216,-0.268626,0.000474,-0.000474,0.963262,-0.268564,2.597692,-0.007045,-3.128440,2.597789,0.001168,3.140933,0.016070,-0.012031,-0.001979,0.000216,-0.008623,-0.007426,-0.999935,0.016070,-20.029951,9.764261,-20.254683,-1.995436,0.008197,-0.000449,7.869000,8.062000
4.397690,0.008561,-1.569993,-1.907713,1.569985,-1.776990,-1.569989,-0.000018,-1.571430,-1.907409,1.569960,-1.777272,-1.569909,-0.000123,-0.001437,0.000304,-0.000025,-0.000282,0.000080,-0.000105,0.122260,-0.737002,0.146891,0.134480,-0.735102,0.146720,-0.001626,0.007281,0.963216,-0.268626,0.000494,-0.000504,0.963246,-0.268620,2.597692,-0.007045,-3.128440,2.597672,0.001223,3.140887,0.016137,-0.012220,-0.001900,0.000171,-0.001275,-0.006023,-0.999981,0.016137,-20.245440,9.445800,-20.246302,-1.983098,0.008969,-0.000541,8.148000,8.339000
4.405917,0.008227,-1.569981,-1.907725,1.569954,-1.777014,-1.569987,0.000056,-1.571438,-1.907432,1.569922,-1.777267,-1.569901,-0.000071,-0.001457,0.000293,-0.000032,-0.000253,0.000087,-0.000127,0.122111,-0.736952,0.146941,0.134487,-0.735127,0.146768,-0.001626,0.007281,0.963216,-0.268626,0.000507,-0.000474,0.963237,-0.268653,2.597692,-0.007045,-3.128440,2.597605,0.001231,3.140951,0.016086,-0.012376,-0.001825,0.000173,0.002915,-0.003580,-0.999989,0.016086,-20.375568,8.777937,-20.326746,-1.969569,0.009648,-0.000654,7.786000,8.001000
4.413581,0.007663,-1.570160,-1.907655,1.570001,-1.777013,-1.569972,-0.000018,-1.571838,-1.907411,1.569981,-1.777236,-1.569878,-0.000158,-0.001678,0.000244,-0.000020,-0.000222,0.000095,-0.000139,0.121961,-0.736902,0.146991,0.134370,-0.735129,0.146675,-0.001626,0.007281,0.963216,-0.268626,0.000480,-0.000426,0.963253,-0.268596,2.597692,-0.007045,-3.128440,2.597723,0.001153,3.141029,0.015980,-0.012409,-0.001773,0.000317,-0.004474,-0.005165,-0.999977,0.015980,-17.694029,-0.260476,-20.471513,-1.921539,0.012980,-0.000716,7.239000,7.428000
4.421874,0.008294,-1.570441,-1.907582,1.569994,-1.777146,-1.570051,-0.000018,-1.572084,-1.907372,1.569950,-1.777338,-1.569925,-0.000180,-0.001643,0.000210,-0.000044,-0.000192,0.000126,-0.000162,0.121811,-0.736852,0.147041,0.134107,-0.735241,0.146695,-0.001626,0.007281,0.963216,-0.268626,0.000404,-0.000280,0.963244,-0.268629,2.597692,-0.007045,-3.128440,2.597655,0.000930,3.141270,0.015659,-0.012295,-0.001611,0.000346,-0.000275,-0.009576,-0.999954,0.015659,-18.713738,4.925133,-19.754429,-1.875430,0.011759,-0.000775,7.881000,8.071000
4.430432,0.008558,-1.570644,-1.907568,1.570048,-1.777178,-1.570039,-0.000010,-1.572355,-1.907381,1.570002,-1.777325,-1.569897,-0.000214,-0.001711,0.000187,-0.000046,-0.000147,0.000142,-0.000204,0.121662,-0.736802,0.147091,0.133966,-0.735263,0.146653,-0.001626,0.007281,0.963216,-0.268626,0.000384,-0.000180,0.963249,-0.268611,2.597692,-0.007045,-3.128440,2.597692,0.000837,3.141452,0.015454,-0.012304,-0.001539,0.000438,-0.002679,-0.008737,-0.999958,0.015454,-17.808359,-2.361464,-20.144189,-1.870024,0.017404,-0.000934,8.131000,8.315000
4.438891,0.008459,-1.570874,-1.907533,1.570018,-1.777213,-1.569960,-0.000059,-1.572539,-1.907372,1.569965,-1.777316,-1.569822,-0.000260,-0.001665,0.000161,-0.000053,-0.000103,0.000138,-0.000201,0.121512,-0.736752,0.147141,0.133856,-0.735326,0.146672,-0.001626,0.007281,0.963216,-0.268626,0.000384,-0.000103,0.963245,-0.268626,2.597692,-0.007045,-3.128440,2.597660,0.000796,-3.141585,0.015306,-0.012343,-0.001427,0.000469,-0.000658,-0.006126,-0.999981,0.015306,-18.076822,-1.230807,-20.453562,-1.890106,0.014275,-0.000974,8.052000,8.240000
4.446664,0.007773,-1.571070,-1.907486,1.570030,-1.777226,-1.569989,-0.000050,-1.572750,-1.907355,1.569967,-1.777302,-1.569829,-0.000285,-0.001680,0.000131,-0.000063,-0.000076,0.000160,-0.000235,0.121363,-0.736703,0.147191,0.133691,-0.735353,0.146633,-0.001626,0.007281,0.963216,-0.268626,0.000345,-0.000001,0.963251,-0.268603,2.597692,-0.007045,-3.128440,2.597708,0.000666,-3.141409,0.015088,-0.012328,-0.001350,0.000558,-0.003807,-0.007502,-0.999965,0.015088,-18.292824,-2.303320,-20.449253,-1.866787,0.017215,-0.001107,7.357000,7.543000
